name                                                       , wins, total, proportion         , score errors, winner errors, event errors, country errors
general                                                    , 8306, 10572,                    ,           74,             3,            9,              1
Overcharge                                                 ,   30,    31, 0.967741935483871  ,            0,             0,            0
The Cheesy Poofs                                           ,   43,    52, 0.8269230769230769 ,            0,             0,            0
HighTide                                                   ,   47,    51, 0.9215686274509803 ,            0,             0,            0
Team RUSH                                                  ,   50,    55, 0.9090909090909091 ,            0,             0,            0
Simbotics                                                  ,   51,    53, 0.9622641509433962 ,            0,             0,            0
OP Robotics                                                ,   46,    53, 0.8679245283018868 ,            0,             0,            0
MadTown Robotics                                           ,   49,    52, 0.9423076923076923 ,            0,             0,            0
Bear Metal                                                 ,   60,    72, 0.8333333333333334 ,            1,             0,            0
Roboteers                                                  ,   18,    20, 0.9                ,            0,             0,            0
The CREW                                                   ,   51,    55, 0.9272727272727272 ,            0,             0,            0
NUTRONs                                                    ,   46,    53, 0.8679245283018868 ,            0,             0,            0
ITKAN Robotics                                             ,   59,    67, 0.8805970149253731 ,            0,             0,            0
The Outliers                                               ,   15,    17, 0.8823529411764706 ,            1,             0,            0
Citrus Circuits                                            ,   47,    53, 0.8867924528301887 ,            0,             0,            0
Windham Windup                                             ,   16,    17, 0.9411764705882353 ,            0,             0,            0
Mercenary Robotics                                         ,   79,    87, 0.9080459770114943 ,            2,             1,            0
The Alpha Dogs                                             ,   52,    56, 0.9285714285714286 ,            1,             0,            0
The Bucks' Wrath                                           ,   13,    17, 0.7647058823529411 ,            1,             0,            0
Ctrl-Alt-Defeat                                            ,   47,    53, 0.8867924528301887 ,            0,             0,            0
RoboTigers                                                 ,   41,    43, 0.9534883720930233 ,            0,             0,            0
StuyPulse                                                  ,   36,    44, 0.8181818181818182 ,            0,             0,            0
Team BEAN                                                  ,   46,    51, 0.9019607843137255 ,            0,             0,            0
The Cobra Commanders                                       ,    0,     0, 0                  ,            0,             0,            0
LYNK                                                       ,   49,    53, 0.9245283018867925 ,            1,             0,            0
AG Robotik                                                 ,   24,    30, 0.8                ,            0,             0,            0
Broncobots                                                 ,   29,    31, 0.9354838709677419 ,            0,             0,            0
ALT-F4                                                     ,   46,    56, 0.8214285714285714 ,            0,             0,            0
Hawaiian Kids                                              ,   15,    17, 0.8823529411764706 ,            0,             0,            0
