Team number,Team name,Epa,Auto EPA,Teleop EPA,Energized,Supercharged,Transition,First Shift,Second Shift,Endgame,Win Rate,Qualified for worlds
2096,RoboActive,78.51,17.12,41.93,0.2268,-0.2134,2.82,19.96,19.14,18.37,0.0,False
10396,Mostra,63.94,13.5,37.9,0.419,-0.1378,4.92,16.76,16.22,11.9,0.5484,True
10217,Catahoula Blue Dogs,58.4,9.91,35.36,0.2619,-0.2352,2.02,15.33,18.01,13.06,0.5185,False
6652,Tigres,54.38,12.54,26.68,0.2684,-0.2367,2.17,15.2,9.3,15.31,0.625,True
10114,Phantom Talons,46.56,14.87,21.11,0.2452,-0.2406,1.2,8.23,11.68,10.53,0.5357,True
7551,Extreme Mechanism,46.51,7.63,28.21,0.2018,-0.2343,3.29,15.85,9.07,9.91,0.5385,True
5968,Little Apple Cyborgs,44.55,14.98,19.7,0.3005,-0.2369,1.22,10.69,7.8,9.81,0.5484,True
9646,The Marinators,38.43,7.46,23.0,-0.04,-0.1338,3.03,12.26,7.71,8.25,0.7143,True
3630,Stampede,37.1,12.41,18.25,0.1844,-0.2336,1.45,7.13,9.68,7.02,0.4667,True
321,RoboLancers,33.65,13.19,12.6,0.0574,-0.2426,-0.9,7.87,5.63,8.53,0.4186,True
772,Sabre Bytes Robotics,27.79,8.16,20.05,-0.1366,-0.1088,0.5,7.31,12.25,0.54,0.4783,True
7403,Lightning Blue Lizards,22.37,8.74,8.18,-0.0683,-0.1236,0.37,5.78,2.03,4.88,0.6,False
11269,Batteries Not Included,17.41,1.44,6.33,0.1733,-0.1981,0.94,-1.92,7.31,9.0,0.4167,True
