Team number, Team name                                                  , Epa   , Auto EPA, Teleop EPA, Energized, Supercharged, Transition, First Shift, Second Shift, Endgame, Win Rate, Wins, Losses
       9483, Overcharge                                                 , 261.31,    57.28,     150.79,    0.7513, 0.6357      , 14.95     ,       75.03,        60.81,   53.31,   0.8636,   38,      6
        254, The Cheesy Poofs                                           , 328.11,    78.45,     169.91,    0.7068, 0.8564      , 27.28     ,       70.36,        72.27,   79.91,   0.9155,   65,      6
       4414, HighTide                                                   , 356.94,    75.05,     195.92,    0.8134, 1.0766      , 36.42     ,       82.07,        77.44,   87.57,   0.9722,   70,      2
         27, Team RUSH                                                  , 295.14,    73.95,     154.57,    0.7885, 0.927       , 25.21     ,       66.76,        62.61,   66.29,   0.9326,   83,      6
       1114, Simbotics                                                  , 287.57,    73.13,     140.52,    0.6833, 0.6517      , 19.14     ,       70.71,        50.67,   73.5 ,   0.8986,   62,      7
       2056, OP Robotics                                                , 302.17,    83.88,     168.99,    0.801 , 0.9293      , 33.24     ,       75.92,        59.83,   49.6 ,   0.863 ,   63,     10
       1323, MadTown Robotics                                           , 309.97,    73.82,     169.55,    0.8192, 1.0563      , 27.9      ,       77.82,        63.84,   67.96,   0.9452,   69,      4
       2046, Bear Metal                                                 , 259.87,    56.56,     136.48,    0.7716, 0.6886      , 21.86     ,       56.82,        57.79,   67.04,   0.8298,   78,     16
       2481, Roboteers                                                  , 285.04,    62.63,     152.81,    0.644 , 0.8117      , 26.5      ,       70.9 ,        55.41,   69.51,   0.8462,   44,      8
       7769, The CREW                                                   , 311.64,    67.75,     175.35,    0.8017, 0.7833      , 26.91     ,       88.16,        60.29,   68.25,   0.9333,   70,      5
        125, NUTRONs                                                    , 281.55,    54.17,     161.2 ,    0.7434, 0.713       , 21.6      ,       70.08,        69.51,   66.17,   0.7965,   68,     17
       9128, ITKAN Robotics                                             , 264.79,    57.76,     141.32,    0.7317, 0.7412      , 17.14     ,       66.83,        57.36,   65.74,   0.8955,   60,      7
       5687, The Outliers                                               , 282.7 ,    73.98,     155.12,    0.8504, 0.7579      , 28.0      ,       72.45,        54.67,   53.56,   0.8333,   62,     12
       1678, Citrus Circuits                                            , 278.15,    59.62,     147.3 ,    0.833 , 0.6863      , 17.6      ,       63.65,        66.06,   70.63,   0.8714,   61,      9
       3467, Windham Windup                                             , 266.45,    48.41,     150.88,    0.7257, 0.7882      , 21.13     ,       65.15,        64.59,   67.04,   0.8824,   75,     10
       6369, Mercenary Robotics                                         , 273.77,    59.01,     150.08,    0.8789, 0.643       , 27.13     ,       63.16,        59.79,   64.88,   0.8953,   77,      9
       4946, The Alpha Dogs                                             , 214.74,    56.82,     113.84,    0.5276, 0.5793      , 20.98     ,       48.95,        43.9 ,   43.95,   0.8378,   62,     12
       6329, The Bucks' Wrath                                           , 260.04,    58.72,     141.73,    0.5534, 0.8248      , 29.52     ,       58.55,        53.67,   59.7 ,   0.7987,   61,     15
       9470, Ctrl-Alt-Defeat                                            , 278.91,    61.41,     148.13,    0.6529, 0.794       , 17.74     ,       74.03,        56.35,   68.25,   0.8219,   60,     13
       1796, RoboTigers                                                 , 263.33,    54.24,     153.31,    0.7395, 0.6085      , 20.84     ,       73.67,        58.79,   55.83,   0.8727,   48,      7
        694, StuyPulse                                                  , 228.77,    42.46,     132.9 ,    0.6222, 0.32        , 15.57     ,       63.5 ,        53.83,   53.07,   0.7797,   46,     13
       1833, Team BEAN                                                  , 233.76,    59.06,     126.27,    0.7353, 0.6221      , 21.37     ,       56.2 ,        48.7 ,   48.68,   0.8824,   60,      8
