name,wins,losses,total,proportion,score errors,winner errors,event errors,country errors
general,6867,2014,8881,,46,1,20,0
TriKzR4Kidz,35,11,46,0.7608695652173914,1,0,0,0
BumbleB,0,0,0,0,0,0,0,0
Team Paradox,38,10,48,0.7916666666666666,0,0,0,0
Terror Bytes,33,11,44,0.75,0,0,0,0
Express-O,10,8,18,0.5555555555555556,1,0,0,0
Sab-BOT-age,26,7,33,0.7878787878787878,0,0,0,0
Ravens,14,1,15,0.9333333333333333,0,0,0,0
Bronc Botz,32,13,45,0.7111111111111111,0,0,0,0
Fighting Falcons,31,13,44,0.7045454545454546,0,0,0,0
RamTech,16,0,16,1.0,0,0,0,0
Norwell Robotics,23,4,27,0.8518518518518519,0,0,0,0
TigerBots,16,1,17,0.9411764705882353,0,0,0,0
The Chimeras,31,14,45,0.6888888888888889,0,0,0,0
HighTide,47,4,51,0.9215686274509803,0,0,0,0
The Mavericks,22,5,27,0.8148148148148148,0,0,0,0
Golem,10,2,12,0.8333333333333334,0,0,0,0
LHS Steel Stingers,33,13,46,0.717391304347826,0,0,0,0
Team SCREAM Jr.,11,7,18,0.6111111111111112,0,0,0,0
CATATRONICS,8,4,12,0.6666666666666666,1,0,0,0
CORE 2062,34,13,47,0.723404255319149,0,0,0,0
TRIGON,0,0,0,0,0,0,0,0
The Daleks,26,11,37,0.7027027027027027,0,0,0,0
Red Hawk Robotics,34,15,49,0.6938775510204082,0,0,0,0
Storm Surge,31,14,45,0.6888888888888889,0,0,0,0
SESI SENAI MEGA HARPY,20,5,25,0.8,0,0,0,0
SPARX,13,8,21,0.6190476190476191,0,0,0,0
Symmetrical Chaos,42,9,51,0.8235294117647058,0,0,0,0
CyberCavs,43,10,53,0.8113207547169812,0,0,0,0
Cinderella Tel-Nof,0,0,0,0,0,0,0,0
Ultime,9,7,16,0.5625,0,0,0,0
Valence Robotics,32,21,53,0.6037735849056604,0,0,0,0
Cadet Robotics,7,4,11,0.6363636363636364,0,0,0,0
ChainLynx,30,11,41,0.7317073170731707,0,0,0,0
Technical Difficulties,31,10,41,0.7560975609756098,0,0,0,0
Siege Robotics,10,1,11,0.9090909090909091,0,0,0,0
4H ALARM Robotics,26,5,31,0.8387096774193549,0,0,0,0
The Beak Squad,9,6,15,0.6,0,0,0,0
RoboEagles,31,14,45,0.6888888888888889,0,0,0,0
Stealth Robotics,41,9,50,0.82,0,0,0,0
General Angels,0,0,0,0,0,0,0,0
The Midnight Mechanics,31,12,43,0.7209302325581395,0,0,0,0
MXS Bulldog Bots,26,6,32,0.8125,0,0,0,0
Titanium Tigers,39,12,51,0.7647058823529411,0,0,0,0
GreengineerZ,33,8,41,0.8048780487804879,0,0,0,0
Clockwork,37,11,48,0.7708333333333334,1,0,0,0
F.R.E.D (FIRST Robotics Engineering and Design),12,3,15,0.8,0,0,0,0
The Jesubots 5809,13,2,15,0.8666666666666667,0,0,0,0
Pumpkin Bots,30,13,43,0.6976744186046512,0,0,0,0
The Blue Grease Crew,0,0,0,0,0,0,1,0
RAM Rodz Robotics,41,10,51,0.803921568627451,0,0,0,0
