Team number,Team name,Epa,Auto EPA,Teleop EPA,Energized,Supercharged,Transition,First Shift,Second Shift,Endgame,Win Rate,Wins,Losses
2056,OP Robotics,302.17,83.89,168.99,0.801,0.9293,33.24,75.93,59.83,49.6,0.863,63,10
27,Team RUSH,295.15,73.95,154.57,0.7885,0.927,25.21,66.76,62.61,66.29,0.9326,83,6
2481,Roboteers,288.12,62.91,154.78,0.6473,0.8578,27.04,71.62,56.12,70.37,0.8462,44,8
5687,The Outliers,282.69,73.97,155.12,0.8504,0.7579,28.0,72.45,54.66,53.56,0.8333,62,12
125,NUTRONs,283.42,54.15,162.39,0.744,0.7239,21.96,70.54,69.89,66.9,0.7965,68,17
7558,ALT-F4,278.87,54.46,158.97,0.7572,0.5571,19.04,74.16,65.77,65.89,0.75,51,17
6369,Mercenary Robotics,274.16,59.03,150.32,0.8789,0.6432,27.19,63.25,59.88,65.03,0.8953,77,9
3467,Windham Windup,266.45,48.41,150.87,0.7258,0.7882,21.13,65.15,64.59,67.04,0.8824,75,10
1987,Broncobots,257.92,49.26,160.33,0.6988,0.6637,19.97,75.2,65.17,48.49,0.9,54,6
1768,Nashoba Robotics,259.43,42.34,141.21,0.8551,0.608,22.78,59.15,59.28,75.89,0.8046,70,17
8044,Denham Venom,256.51,57.29,133.09,0.6465,0.5848,15.24,70.0,47.85,66.12,0.8475,50,9
1706,Ratchet Rockers,256.0,47.57,151.22,0.7258,0.2629,15.68,75.78,59.76,56.77,0.9574,45,2
5000,HAMMERHEADS,235.75,46.01,128.39,0.6615,0.4795,14.75,59.24,54.4,61.49,0.6406,41,23
1833,Team BEAN,233.52,59.16,126.03,0.735,0.6169,21.33,56.09,48.62,48.55,0.8824,60,8
359,Hawaiian Kids,234.75,38.66,139.38,0.7421,0.3293,14.04,66.88,58.45,55.35,0.8625,69,11
4499,The Highlanders,231.05,52.5,120.55,0.7287,0.1894,16.19,60.54,43.83,58.62,0.8462,55,10
694,StuyPulse,230.56,42.63,133.93,0.6226,0.3317,15.7,64.03,54.21,53.7,0.7797,46,13
5907,CC Shambots,223.75,33.13,123.35,0.5712,0.5447,14.8,53.99,54.56,66.96,0.7164,48,19
2468,Team Appreciate,214.43,41.79,114.23,0.8484,0.1925,10.23,57.49,46.51,58.05,0.7846,51,14
7457,suPURDUEper Robotics,214.68,52.65,122.52,0.5707,0.4623,16.45,55.06,51.0,39.36,0.8193,68,15
1732,Hilltopper Robotics,213.39,46.4,115.96,0.649,0.3207,16.45,48.89,50.63,50.75,0.8015,54,13
195,CyberKnights,206.01,42.59,119.37,0.4635,0.5059,13.25,58.45,47.67,44.5,0.6791,45,21
1918,Newaygo County GEARS,204.01,33.79,121.82,0.7312,0.5882,12.91,54.45,54.46,49.6,0.7755,38,11
4028,The Beak Squad,203.94,43.11,108.29,0.4711,0.4171,12.36,51.43,44.49,52.48,0.7381,31,11
67,The HOT Team,202.97,43.76,111.54,0.5022,0.3493,14.77,52.01,44.75,44.96,0.7308,47,17
180,S.P.A.M.,196.26,53.58,103.91,0.6303,0.139,10.46,56.61,36.85,39.02,0.7717,35,10
4646,Wildcard Robotics,196.86,38.76,102.15,0.5969,-0.0483,9.65,42.87,49.62,55.44,0.7143,30,12
10021,Guerin Catholic Golden Gears,195.91,36.86,102.75,0.5746,0.1929,5.18,55.17,42.39,55.91,0.6957,48,21
1002,CircuitRunners Robotics,190.39,49.58,105.14,0.4297,0.1436,14.3,54.23,36.61,35.86,0.7319,50,18
484,Roboforce,189.33,37.96,103.08,0.7045,0.3379,15.44,42.31,45.33,48.84,0.7097,44,18
8608,Alpha Bots,187.2,32.9,107.84,0.6283,0.4128,17.04,54.94,35.87,45.94,0.7619,48,15
2767,Stryke Force,186.22,49.75,99.14,0.5964,0.4655,9.44,47.12,42.58,37.73,0.8209,55,12
9032,RoboWhales,183.57,32.56,108.28,0.5943,0.2692,8.58,51.32,48.37,43.46,0.8281,53,11
3414,Hackbots,182.99,41.77,100.29,0.5813,0.3493,12.42,47.83,40.03,41.18,0.7143,45,18
3641,The Flying Toasters,179.6,39.3,89.31,0.4219,0.168,9.44,42.96,36.91,51.02,0.6308,41,24
4635,PrepaTec - Botbusters,178.75,42.68,97.11,0.5478,0.1642,16.41,51.81,28.89,38.16,0.8889,48,6
503,Frog Force,177.09,30.74,101.07,0.5807,0.2035,9.17,52.04,39.86,44.11,0.6456,51,28
9401,Midas' Mayhem,171.44,34.97,95.74,0.4789,0.0249,9.79,49.08,36.87,41.04,0.7143,30,12
2137,The Oxford RoboCats,171.42,45.98,78.86,0.6571,0.3139,-1.67,44.86,35.67,46.86,0.75,48,16
4143,MARS/WARS,170.01,44.04,95.26,0.6326,-0.0646,18.93,41.32,35.02,31.01,0.8,40,10
1710,The Ravonics Revolution,169.68,39.62,98.68,0.5256,0.1719,8.97,52.42,37.29,31.37,0.5952,25,17
